ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
JUN	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001525~angiogenesis,GO:0001774~microglial cell activation,GO:0001836~release of cytochrome c from mitochondria,GO:0001889~liver development,GO:0001938~positive regulation of endothelial cell proliferation,GO:0003151~outflow tract morphogenesis,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006915~apoptotic process,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007265~Ras protein signal transduction,GO:0007568~aging,GO:0007612~learning,GO:0007623~circadian rhythm,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009314~response to radiation,GO:0009410~response to xenobiotic stimulus,GO:0009612~response to mechanical stimulus,GO:0010634~positive regulation of epithelial cell migration,GO:0030224~monocyte differentiation,GO:0031103~axon regeneration,GO:0031953~negative regulation of protein autophosphorylation,GO:0032496~response to lipopolysaccharide,GO:0034097~response to cytokine,GO:0034614~cellular response to reactive oxygen species,GO:0035026~leading edge cell differentiation,GO:0035994~response to muscle stretch,GO:0042127~regulation of cell proliferation,GO:0042493~response to drug,GO:0042542~response to hydrogen peroxide,GO:0043065~positive regulation of apoptotic process,GO:0043392~negative regulation of DNA binding,GO:0043524~negative regulation of neuron apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:0043922~negative regulation by host of viral transcription,GO:0043923~positive regulation by host of viral transcription,GO:0045657~positive regulation of monocyte differentiation,GO:0045740~positive regulation of DNA replication,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048146~positive regulation of fibroblast proliferation,GO:0050790~regulation of catalytic activity,GO:0051365~cellular response to potassium ion starvation,GO:0051591~response to cAMP,GO:0051726~regulation of cell cycle,GO:0051899~membrane depolarization,GO:0060395~SMAD protein signal transduction,GO:0061029~eyelid development in camera-type eye,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071276~cellular response to cadmium ion,GO:0071277~cellular response to calcium ion,GO:0072740~cellular response to anisomycin,GO:1901522~positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:1990441~negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,GO:2000144~positive regulation of DNA-templated transcription, initiation,	GO:0000228~nuclear chromosome,GO:0000785~chromatin,GO:0000791~euchromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0017053~transcriptional repressor complex,GO:0035976~transcription factor AP-1 complex,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003723~RNA binding,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019899~enzyme binding,GO:0031625~ubiquitin protein ligase binding,GO:0035497~cAMP response element binding,GO:0042802~identical protein binding,GO:0044389~ubiquitin-like protein ligase binding,GO:0044877~macromolecular complex binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070412~R-SMAD binding,GO:0071837~HMG box domain binding,GO:1990837~sequence-specific double-stranded DNA binding,
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2(KDELR2)	Homo sapiens	GO:0006621~protein retention in ER lumen,GO:0006888~ER to Golgi vesicle-mediated transport,GO:0006890~retrograde vesicle-mediated transport, Golgi to ER,GO:0015031~protein transport,GO:0035437~maintenance of protein localization in endoplasmic reticulum,	GO:0000139~Golgi membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005801~cis-Golgi network,GO:0016021~integral component of membrane,GO:0030133~transport vesicle,GO:0030663~COPI-coated vesicle membrane,	GO:0005046~KDEL sequence binding,GO:0046923~ER retention sequence binding,
KHDC4	KH domain containing 4, pre-mRNA splicing factor(KHDC4)	Homo sapiens	GO:0006376~mRNA splice site selection,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0003723~RNA binding,GO:0005515~protein binding,
KIAA0753	KIAA0753(KIAA0753)	Homo sapiens	GO:0007099~centriole replication,GO:0060271~cilium assembly,GO:0061824~cytosolic ciliogenesis,GO:0071539~protein localization to centrosome,	GO:0005813~centrosome,GO:0005814~centriole,GO:0005829~cytosol,GO:0034451~centriolar satellite,	GO:0005515~protein binding,
KIT	KIT proto-oncogene, receptor tyrosine kinase(KIT)	Homo sapiens	GO:0000187~activation of MAPK activity,GO:0001541~ovarian follicle development,GO:0002244~hematopoietic progenitor cell differentiation,GO:0002318~myeloid progenitor cell differentiation,GO:0002320~lymphoid progenitor cell differentiation,GO:0002327~immature B cell differentiation,GO:0002551~mast cell chemotaxis,GO:0002732~positive regulation of dendritic cell cytokine production,GO:0006687~glycosphingolipid metabolic process,GO:0006954~inflammatory response,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0007283~spermatogenesis,GO:0007286~spermatid development,GO:0008284~positive regulation of cell proliferation,GO:0008354~germ cell migration,GO:0008360~regulation of cell shape,GO:0008542~visual learning,GO:0008584~male gonad development,GO:0010863~positive regulation of phospholipase C activity,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0019221~cytokine-mediated signaling pathway,GO:0019827~stem cell population maintenance,GO:0030032~lamellipodium assembly,GO:0030097~hemopoiesis,GO:0030183~B cell differentiation,GO:0030217~T cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030318~melanocyte differentiation,GO:0030335~positive regulation of cell migration,GO:0031274~positive regulation of pseudopodium assembly,GO:0031532~actin cytoskeleton reorganization,GO:0032765~positive regulation of mast cell cytokine production,GO:0033674~positive regulation of kinase activity,GO:0035019~somatic stem cell population maintenance,GO:0035162~embryonic hemopoiesis,GO:0035234~ectopic germ cell programmed cell death,GO:0035556~intracellular signal transduction,GO:0035701~hematopoietic stem cell migration,GO:0035855~megakaryocyte development,GO:0038093~Fc receptor signaling pathway,GO:0038109~Kit signaling pathway,GO:0038162~erythropoietin-mediated signaling pathway,GO:0042127~regulation of cell proliferation,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0043069~negative regulation of programmed cell death,GO:0043303~mast cell degranulation,GO:0043406~positive regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0043473~pigmentation,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0043586~tongue development,GO:0045747~positive regulation of Notch signaling pathway,GO:0046427~positive regulation of JAK-STAT cascade,GO:0046686~response to cadmium ion,GO:0046777~protein autophosphorylation,GO:0048103~somatic stem cell division,GO:0048170~positive regulation of long-term neuronal synaptic plasticity,GO:0048565~digestive tract development,GO:0048863~stem cell differentiation,GO:0050673~epithelial cell proliferation,GO:0050910~detection of mechanical stimulus involved in sensory perception of sound,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051093~negative regulation of developmental process,GO:0060326~cell chemotaxis,GO:0060374~mast cell differentiation,GO:0070662~mast cell proliferation,GO:0070668~positive regulation of mast cell proliferation,GO:0097067~cellular response to thyroid hormone stimulus,GO:0097324~melanocyte migration,GO:0097326~melanocyte adhesion,GO:1904251~regulation of bile acid metabolic process,GO:1904343~positive regulation of colon smooth muscle contraction,GO:1904349~positive regulation of small intestine smooth muscle contraction,GO:1905065~positive regulation of vascular smooth muscle cell differentiation,GO:2000242~negative regulation of reproductive process,	GO:0001650~fibrillar center,GO:0001669~acrosomal vesicle,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0009897~external side of plasma membrane,GO:0009898~cytoplasmic side of plasma membrane,GO:0016021~integral component of membrane,GO:0043235~receptor complex,	GO:0002020~protease binding,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005020~stem cell factor receptor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019955~cytokine binding,GO:0042169~SH2 domain binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,
LAGE3	L antigen family member 3(LAGE3)	Homo sapiens	GO:0008033~tRNA processing,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0070525~tRNA threonylcarbamoyladenosine metabolic process,	GO:0000408~EKC/KEOPS complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016604~nuclear body,	GO:0005515~protein binding,
LRP10	LDL receptor related protein 10(LRP10)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0006869~lipid transport,GO:0006897~endocytosis,GO:0048839~inner ear development,	GO:0005886~plasma membrane,GO:0005905~clathrin-coated pit,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005041~low-density lipoprotein receptor activity,GO:0005515~protein binding,
LRPAP1	LDL receptor related protein associated protein 1(LRPAP1)	Homo sapiens	GO:0002091~negative regulation of receptor internalization,GO:0007165~signal transduction,GO:0010916~negative regulation of very-low-density lipoprotein particle clearance,GO:0032091~negative regulation of protein binding,GO:0048259~regulation of receptor-mediated endocytosis,GO:0060548~negative regulation of cell death,GO:1900116~extracellular negative regulation of signal transduction,GO:1900222~negative regulation of beta-amyloid clearance,GO:1900223~positive regulation of beta-amyloid clearance,GO:2000272~negative regulation of receptor activity,	GO:0005576~extracellular region,GO:0005768~endosome,GO:0005783~endoplasmic reticulum,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0005794~Golgi apparatus,GO:0005796~Golgi lumen,GO:0005801~cis-Golgi network,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0012505~endomembrane system,GO:0031904~endosome lumen,GO:0048237~rough endoplasmic reticulum lumen,	GO:0001540~beta-amyloid binding,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0008201~heparin binding,GO:0035473~lipase binding,GO:0048018~receptor agonist activity,GO:0048019~receptor antagonist activity,GO:0050750~low-density lipoprotein particle receptor binding,GO:0070326~very-low-density lipoprotein particle receptor binding,
LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM5)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006397~mRNA processing,GO:0006402~mRNA catabolic process,GO:0008380~RNA splicing,GO:0009617~response to bacterium,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005681~spliceosomal complex,GO:0005688~U6 snRNP,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0046540~U4/U6 x U5 tri-snRNP complex,GO:0071005~U2-type precatalytic spliceosome,GO:1990726~Lsm1-7-Pat1 complex,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0046982~protein heterodimerization activity,
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated(LSM6)	Homo sapiens	GO:0000398~mRNA splicing, via spliceosome,GO:0006402~mRNA catabolic process,GO:0008033~tRNA processing,GO:0008380~RNA splicing,GO:0030490~maturation of SSU-rRNA,	GO:0000932~P-body,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005688~U6 snRNP,GO:0005730~nucleolus,GO:0005732~small nucleolar ribonucleoprotein complex,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0030532~small nuclear ribonucleoprotein complex,GO:0046540~U4/U6 x U5 tri-snRNP complex,GO:0071005~U2-type precatalytic spliceosome,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0046982~protein heterodimerization activity,
LYN	LYN proto-oncogene, Src family tyrosine kinase(LYN)	Homo sapiens	GO:0001782~B cell homeostasis,GO:0001817~regulation of cytokine production,GO:0001932~regulation of protein phosphorylation,GO:0001933~negative regulation of protein phosphorylation,GO:0001934~positive regulation of protein phosphorylation,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002244~hematopoietic progenitor cell differentiation,GO:0002250~adaptive immune response,GO:0002431~Fc receptor mediated stimulatory signaling pathway,GO:0002513~tolerance induction to self antigen,GO:0002553~histamine secretion by mast cell,GO:0002576~platelet degranulation,GO:0002762~negative regulation of myeloid leukocyte differentiation,GO:0002768~immune response-regulating cell surface receptor signaling pathway,GO:0002774~Fc receptor mediated inhibitory signaling pathway,GO:0002862~negative regulation of inflammatory response to antigenic stimulus,GO:0002902~regulation of B cell apoptotic process,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0006991~response to sterol depletion,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0009725~response to hormone,GO:0009743~response to carbohydrate,GO:0010976~positive regulation of neuron projection development,GO:0014003~oligodendrocyte development,GO:0014070~response to organic cyclic compound,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030154~cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030335~positive regulation of cell migration,GO:0030889~negative regulation of B cell proliferation,GO:0031175~neuron projection development,GO:0031295~T cell costimulation,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0031668~cellular response to extracellular stimulus,GO:0032868~response to insulin,GO:0033003~regulation of mast cell activation,GO:0033628~regulation of cell adhesion mediated by integrin,GO:0034136~negative regulation of toll-like receptor 2 signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0034144~negative regulation of toll-like receptor 4 signaling pathway,GO:0034605~cellular response to heat,GO:0035556~intracellular signal transduction,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038159~C-X-C chemokine receptor CXCR4 signaling pathway,GO:0042493~response to drug,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0043200~response to amino acid,GO:0043304~regulation of mast cell degranulation,GO:0043407~negative regulation of MAP kinase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045087~innate immune response,GO:0045646~regulation of erythrocyte differentiation,GO:0046777~protein autophosphorylation,GO:0048013~ephrin receptor signaling pathway,GO:0048678~response to axon injury,GO:0050777~negative regulation of immune response,GO:0050853~B cell receptor signaling pathway,GO:0050855~regulation of B cell receptor signaling pathway,GO:0050900~leukocyte migration,GO:0051272~positive regulation of cellular component movement,GO:0051279~regulation of release of sequestered calcium ion into cytosol,GO:0060252~positive regulation of glial cell proliferation,GO:0060369~positive regulation of Fc receptor mediated stimulatory signaling pathway,GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway,GO:0070304~positive regulation of stress-activated protein kinase signaling cascade,GO:0070372~regulation of ERK1 and ERK2 cascade,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070447~positive regulation of oligodendrocyte progenitor proliferation,GO:0070667~negative regulation of mast cell proliferation,GO:0070668~positive regulation of mast cell proliferation,GO:0071300~cellular response to retinoic acid,GO:0090025~regulation of monocyte chemotaxis,GO:0090330~regulation of platelet aggregation,GO:0097028~dendritic cell differentiation,GO:1902532~negative regulation of intracellular signal transduction,GO:1902961~positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,GO:2000670~positive regulation of dendritic cell apoptotic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005758~mitochondrial intermembrane space,GO:0005765~lysosomal membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0014069~postsynaptic density,GO:0030061~mitochondrial crista,GO:0030666~endocytic vesicle membrane,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0034666~integrin alpha2-beta1 complex,GO:0043231~intracellular membrane-bounded organelle,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,GO:0098978~glutamatergic synapse,GO:0099091~postsynaptic specialization, intracellular component,	GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005161~platelet-derived growth factor receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0017124~SH3 domain binding,GO:0019899~enzyme binding,GO:0031625~ubiquitin protein ligase binding,GO:0043015~gamma-tubulin binding,GO:0043208~glycosphingolipid binding,GO:0044325~ion channel binding,GO:0046875~ephrin receptor binding,GO:0051219~phosphoprotein binding,GO:0097110~scaffold protein binding,
